Dataset,Phylum,Class,Order,Family,Genus,Species,n
CCZ,Nematoda,NA,NA,NA,NA,NA,1806192.151636328
CCZ,Arthropoda,Copepoda,NA,NA,NA,NA,92114.174434989
CCZ,Foraminifera,Monothalamea,NA,NA,NA,NA,45123
CCZ,Annelida,Polychaeta,NA,NA,NA,NA,32889.284378893
CCZ,Arthropoda,Copepoda,Harpacticoida,NA,NA,NA,26430.0283491
CCZ,Annelida,NA,NA,NA,NA,NA,22287
CCZ,Arthropoda,Malacostraca,Isopoda,NA,NA,NA,21337.782592092
CCZ,Arthropoda,Ostracoda,NA,NA,NA,NA,14732.734433879
CCZ,Arthropoda,Malacostraca,Amphipoda,Tryphosidae,Orchomene,NA,13085
CCZ,Arthropoda,Copepoda,Cyclopoida,Oncaeidae,Oncaea,Oncaea venusta,12640
CCZ,Arthropoda,Malacostraca,Tanaidacea,NA,NA,NA,12333.361008611
CCZ,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus farrani,8900
CCZ,Arthropoda,Malacostraca,Amphipoda,NA,NA,NA,8163.564316696
CCZ,Arthropoda,Copepoda,Cyclopoida,Oncaeidae,Oncaea,Oncaea mediterranea,8150
CCZ,Echinodermata,Ophiuroidea,NA,NA,NA,NA,8036
CCZ,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,7550
CCZ,Mollusca,Bivalvia,NA,NA,NA,NA,6625
CCZ,Nematoda,Chromadorea,Monhysterida,Monhysteridae,Thalassomonhystera,NA,6556.761968544
CCZ,Arthropoda,Copepoda,Cyclopoida,Oncaeidae,Triconia,Triconia dentipes,6520
CCZ,Arthropoda,Copepoda,Cyclopoida,Oncaeidae,Oncaea,NA,6023
CCZ,Nematoda,Chromadorea,NA,NA,NA,NA,5820
CCZ,Arthropoda,Copepoda,Cyclopoida,Oncaeidae,Oncaea,Oncaea media,5630
CCZ,Tardigrada,NA,NA,NA,NA,NA,5145.315724743
CCZ,Cnidaria,Octocorallia,Scleralcyonacea,Primnoidae,Abyssoprimnoa,NA,5081
CCZ,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,Oithona plumifera,4630
CCZ,Loricifera,NA,NA,NA,NA,NA,4424.668058523
CCZ,Arthropoda,Copepoda,Cyclopoida,Oncaeidae,Triconia,Triconia conifera,4310
CCZ,Arthropoda,Copepoda,Calanoida,NA,NA,NA,4230
CCZ,Foraminifera,Globothalamea,Lituolida,Trochamminidae,Trochammina,NA,4171
