Dataset;Phylum;Class;Order;Family;Genus;Species;individualCount
Dataset_Sp;P1;C1;O1;F1;G1;S1;7
Dataset_Sp;P1;C1;O2;F2;G2;S2;9
Dataset_Sp;P1;C1;O3;F3;G3;S3;500
Dataset_Sp;P1;C1;O4;F4;G4;S4;10
Dataset_Sp;P1;C1;O5;F5;G5;S5;8
Dataset_Sp;P1;C1;O6;F6;G6;S6;2
Dataset_Sp;P1;C1;O7;F7;G7;S7;100
Dataset_Class;P2;C1;;;;;100
Dataset_Abund;P3;C1;;;;;19
Dataset_Abund;P3;C1;;;;;56
Dataset_Abund;P3;C1;O3;F1;G1;S1;1200
Dataset_Abund;P3;C1;;;;;49
Dataset_Abund;P3;C1;;;;;180
Dataset_Abund;P3;C2;;;;;112
Dataset_Abund;P3;C2;;;;;85
Dataset_Abund;P3;;;;;;112
Dataset_Abund;P3;;;;;;30
Dataset_Abund;P3;;;;;;60
Dataset_Defic;P5;C1;;;;;85
Dataset_Defic;P5;C2;;;;;70
Dataset_Defic;P5;C1;O2;;;;55
Dataset_Defic;P5;C1;O2;F3;;;31
Dataset_Defic;P5;;;;;;78
Dataset_Defic;P5;;;;;;96
Dataset_Defic;P5;;;;;;91
Dataset_Defic;P5;C1;;;;;55
Dataset_Gen;P1;C1;O1;F1;G1;;70
Dataset_Gen;P1;C1;O2;F2;G2;;60
Dataset_Gen;P1;C1;O3;F3;G3;;200
Dataset_Gen;P1;C1;O4;F4;G4;;3
Dataset_Gen;P1;C1;O5;F5;G5;;70
Dataset_Ord;P5;C1;O5;;;;36
Dataset_Ord;P5;C1;O2;;;;54
Dataset_Ord;P5;C2;O1;;;;36
Dataset_Ord;P5;C1;O4;;;;120
Dataset_Ord;P5;C1;O3;;;;94
Dataset_Well_Res;P1;C1;O1;F1;G1;S1;9
Dataset_Well_Res;P1;C1;O2;F2;G2;S2;8
Dataset_Well_Res;P1;C1;O3;F3;G3;S3;3
Dataset_Well_Res;P1;C1;O4;F4;G4;S4;6
Dataset_Well_Res;P1;C1;O5;F5;G5;S5;10
Dataset_Well_Res;P1;C1;O6;F6;G6;S6;8
Dataset_Well_Res;P1;C1;O7;F7;G7;;400
Dataset_Well_Res;P1;C1;O8;F8;G8;;60
Dataset_Phy;P2;;;;;;800
Dataset_Under;P3;C1;O5;F5;;;20
Dataset_Under;P3;C1;O2;F2;G2;S2;220
Dataset_Under;P3;C1;;;;;240
Dataset_Under;P3;C1;;;;;800
Dataset_Under;P3;C1;O5;F5;G5;S5;27
Dataset_Under;P3;C1;O8;F8;G10;;10
Dataset_Under;P3;C1;O8;F8;G9;;60
Dataset_Under;P3;C1;O8;F8;G8;S8;17
Dataset_Under;P3;;;;;;200
Dataset_Under;P3;C1;O8;F8;G8;S8;1
Dataset_Fam;P5;C1;O2;F2;;;22
Dataset_Fam;P5;C1;O2;F7;;;29
Dataset_Fam;P5;C1;O3;F3;;;70
Dataset_Fam;P5;C1;O4;F4;;;69
Dataset_Fam;P5;C1;O3;F3;;;41
Dataset_Fam;P5;C1;O4;F4;;;55
Dataset_Fam;P5;C1;O5;F5;;;76
Dataset_Fam;P5;C1;O3;F3;;;64
Dataset_Fam;P5;C1;O4;F4;;;57
Dataset_Fam;P5;C1;O10;F1;;;50
Dataset_Class;P2;C2;;;;;100
